Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
			
MT-TF	MT	577	647
			
MT-RNR1	MT	648	1601
			
MT-TV	MT	1602	1670
			
MT-RNR2	MT	1671	3229
			
MT-TL1	MT	3230	3304
			
MT-ND1	MT	3307	4262
			
MT-TI	MT	4263	4331
			
MT-TQ	MT	4329	4400
			
MT-TM	MT	4402	4469
			
MT-ND2	MT	4470	5511
			
MT-TW	MT	5512	5579
			
MT-TA	MT	5587	5655
			
MT-TN	MT	5657	5729
			
MT-TC	MT	5761	5826
			
MT-TY	MT	5826	5891
			
MT-CO1	MT	5904	7445
			
MT-TS1	MT	7446	7514
			
MT-TD	MT	7518	7585
			
MT-CO2	MT	7586	8269
			
MT-TK	MT	8295	8364
			
MT-ATP8	MT	8366	8572
			
MT-ATP6	MT	8527	9207
			
MT-CO3	MT	9207	9990
			
MT-TG	MT	9991	10058
			
MT-ND3	MT	10059	10404
			
MT-TR	MT	10405	10469
			
MT-ND4L	MT	10470	10766
			
MT-ND4	MT	10760	12137
			
MT-TH	MT	12138	12206
			
MT-TS2	MT	12207	12265
			
MT-TL2	MT	12266	12336
			
MT-ND5	MT	12337	14148
			
MT-ND6	MT	14149	14673
			
MT-TE	MT	14674	14742
			
MT-CYB	MT	14747	15887
			
MT-TT	MT	15888	15953
			
MT-TP	MT	15956	16023
			
	KI270711.1	4612	29626
			
	CHR_HSCHR2_2_CTG1	753629	754224
			
5S_rRNA	KI270442.1	380608	380726
			
	GL000009.2	56140	58376
			
INTS3	CHR_HSCHR1_1_CTG31	153745298	153792039
			
5_8S_rRNA	KI270442.1	217250	217401
			
	CHR_HSCHR2_2_CTG1	745961	754657
			
LINC01115	CHR_HSCHR2_2_CTG1	784657	859032
			
KIR2DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54738538	54753053
			
	CHR_HSCHR5_2_CTG1	29113759	29114317
			
LILRP2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54707916	54713453
			
KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54803599	54814548
			
	CHR_HSCHR5_2_CTG1	29200579	29225491
			
LINC02109	CHR_HSCHR5_2_CTG1	29152383	29181238
			
LILRP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54700593	54700905
			
KIR3DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54864204	54872914
			
KIR2DL1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54813971	54828213
			
KIR3DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54816442	54830745
			
KIR2DS3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54782354	54796789
			
KIR2DS4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54877320	54892899
			
KIR3DL3	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54724498	54736060
			
KIR2DL4	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54847612	54858688
			
	CHR_HSCHR5_2_CTG1	29079384	29079498
			
	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54703952	54704235
			
KIR2DL2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54754673	54769220
			
LILRP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54700593	54700905
			
KIR2DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54738470	54752993
			
KIR3DL3	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54724450	54736092
			
	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54754966	54767314
			
KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54803565	54814279
			
KIR3DL1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54816451	54830756
			
KIR2DL4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54833799	54844782
			
KIR2DL4	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54789806	54800882
			
KIR2DS4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54819131	54834528
			
KIR2DS4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54832788	54848156
			
PCMTD2	CHR_HSCHR20_1_CTG3	64259386	64278487
			
NCR1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54892528	54896443
			
KIR3DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54816496	54820397
			
LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54707916	54713453
			
KIR3DP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54771247	54784650
			
KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54738439	54769215
			
KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54738471	54753005
			
KIR2DL4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54803379	54814527
			
KIR2DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54769838	54784324
			
KIR2DL4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54789912	54800893
			
KIR3DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54786398	54798220
			
FCAR	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54874219	54890443
			
KIR2DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54814388	54828892
			
KIR3DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54816473	54830785
			
OPRL1	CHR_HSCHR20_1_CTG3	64097802	64100643
			
LILRP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54700593	54700905
			
KIR2DL2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54754680	54769221
			
KIR2DP1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54754923	54767817
			
NPBWR2	CHR_HSCHR20_1_CTG3	64105820	64107171
			
	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54703952	54704235
			
KIR2DL4	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54803296	54814484
			
	CHR_HSCHR20_1_CTG3	64143780	64147290
			
MYT1	CHR_HSCHR20_1_CTG3	64155437	64245898
			
KIR3DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54861074	54875379
			
KIR3DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54724453	54736091
			
LILRP2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54707916	54713341
			
	CHR_HSCHR1_1_CTG31	153869337	153870645
			
	CHR_HSCHR1_1_CTG31	153768214	153769407
			
	CHR_HSCHR1_1_CTG31	153812404	153819322
			
KIR2DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54754722	54769049
			
GEMIN2P1	CHR_HSCHR1_1_CTG31	153713833	153714877
			
GATAD2B	CHR_HSCHR1_1_CTG31	153821956	153845579
			
KIR2DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54814475	54828769
			
KIR2DL1	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54769275	54783790
			
KIR2DS4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54877376	54892982
			
KIR3DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54895138	54911932
			
KRT20	CHR_HSCHR17_4_CTG4	40875941	40885227
			
KIR2DS4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54832771	54848624
			
KIR3DL3	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54723963	54736023
			
KIR3DL1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54802859	54817155
			
KIR3DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54726054	54736537
			
KRTAP3-1	CHR_HSCHR17_4_CTG4	41008648	41019451
			
FCAR	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54874290	54891462
			
KIR3DP1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54786474	54798295
			
KRTAP3-2	CHR_HSCHR17_4_CTG4	40999320	41000021
			
KIR3DL1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54816448	54830767
			
KRTAP4-9	CHR_HSCHR17_4_CTG4	41105751	41106907
			
	CHR_HSCHR1_1_CTG31	153764082	153768458
			
SLC27A3	CHR_HSCHR1_1_CTG31	153791585	153797388
			
DNAH10	CHR_HSCHR12_6_CTG2_1	123826687	123935766
			
KRTAP2-4	CHR_HSCHR17_4_CTG4	41065346	41066109
			
KIR2DS4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54832710	54847746
			
	CHR_HSCHR17_4_CTG4	40850800	40863282
			
KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54724453	54767462
			
KIR3DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54786260	54790260
			
LILRP2	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54707916	54713453
			
KRT23	CHR_HSCHR17_4_CTG4	40922696	40937634
			
KIR3DL1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54816499	54830812
			
KIR3DP1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54830630	54842447
			
LILRP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54698377	54701106
			
KIR3DL1	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54802842	54817184
			
KIR2DS4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54832654	54848284
			
KIR2DS5	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54782658	54797195
			
FCAR	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54945648	54961872
			
KIR2DS4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54863003	54878657
			
